response_id,question_text,response_text
109,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""It's been tough, to be honest. I've had a few slip-ups since discharge, mainly when I'm feeling stressed or anxious. The hardest part is remembering to take it on time every day - my mum has started leaving reminders for me on the fridge, which is helping a bit more."""
110,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I've actually found it pretty manageable so far, I mean, I still have those days where I just don't feel like taking my meds at all, but when I do, I try to remind myself that it's helping me get better and that's what keeps me going. However, the hardest part has been getting into a daily routine again after being in care for so long - sometimes it feels like a big adjustment."""
111,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm doing alright, I guess. The hardest part is remembering to take my meds on time - sometimes I'll run out of them before I even realize it, but other times I've got multiple days' worth stashed away in case I forget. It's just...it feels like I'm only managing the symptoms, not really addressing the root stuff."""
112,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm having trouble remembering to take my meds every day, to be honest. I was getting into a routine while I was in care, but now that I'm out on my own, it's just not as easy to remember. Sometimes I'll forget for a whole week and then realize I've missed a few doses - it's really frustrating."""
113,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Honestly, I've had some ups and downs. Lately, I've been having trouble remembering to take my meds on time, but that's mainly because I've been getting really busy with work and social stuff - it's hard to prioritize self-care when life is moving so fast. Still, I'm trying to establish a routine and make it a habit."""
114,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Yeah, it's been tough. I've been forgetting to take my meds sometimes because I'm too busy with work and stuff, but I got a reminder app on my phone so that's helping. If I'm being honest, some days I just don't feel like taking anything, you know?"""
115,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I've actually found that I'm doing okay with taking my meds. The thing is, sometimes I forget to take them in the mornings because I get so caught up in planning out my day, but I've started leaving a note on my pillow to remind myself. It's been a small hurdle to overcome, but it's not too bad."""
116,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Yeah, I've been sticking to my meds pretty well, but sometimes I feel like they're just numbing me instead of really helping. The hardest part is remembering to take them when I'm in the middle of a creative project – I get so caught up in writing or painting that time flies and I forget to take my pill. It's funny how something that's supposed to be about control can feel like it's just another thing to lose track of."""
117,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","Honestly, I've been having a bit of an off week. I just ran out of my pills while I was at the library studying for my exam, and now I'm feeling anxious about going to the pharmacy tomorrow to refill them - it's all just feeling really overwhelming right now."
118,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Honestly, it's been a struggle. I've been having a bit of a setback with my anxiety attacks, so it's hard for me to remember to take my meds every day. Sometimes I just feel like it's not making a difference and that's really frustrating."""
119,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm trying my best to remember to take my meds, but honestly, some days I forget or don't feel like taking them because of how anxious I am about going back out into the world. It's hard to stick to a routine when every little thing feels overwhelming and I just want to curl up with a blanket."""
120,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I've been doing okay with my meds so far, but some days I feel like I'm just going through the motions. The hardest part is remembering to take them at night, 'cause when I wake up in the morning, all I can think about is getting out of bed and facing another day... it's a constant battle, you know?"""
121,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","I'm struggling to remember why I even started taking this stuff in the first place. To be honest, I've just been going through the motions, and most days I feel like I'm just trying to survive rather than actually managing my symptoms. It's hard when you're out of that structured environment and have to take responsibility for it all on your own."
122,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","Honestly, I've been struggling to remember to take my meds on time, so that's been a real challenge. Lately, I've had to start setting reminders on my phone just to make sure I don't forget, which is kind of embarrassing for me."
123,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm managing okay, I'd say. The hardest part is remembering to take my meds at the same time every day, but my phone reminder works well so that's helped. Sometimes I forget due to being busy or distracted, but it's not like it was before when I couldn't even get out of bed."""
124,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Honestly, I've been having trouble remembering to take my meds on time. The biggest challenge is getting into a daily rhythm after being in care for so long - some days it feels like a chore, while others I'm fine and just need a reminder from my phone. It's not easy, but I'm working on it."""
125,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","Honestly, I've been having a bit of trouble remembering to take my meds every day. To be honest, I was really struggling with anxiety at first, but since starting therapy again, I feel like I'm getting back on track and it's just becoming second nature now."
126,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I've actually found that my medication routine has been pretty easy to stick to lately. I mean, it's still a part of my daily life, but it doesn't feel like it's controlling me anymore - it feels more like a tool to help me manage my symptoms. As for the biggest challenge, I'd say it's just getting into the habit of taking them every morning without having to remind myself, you know?"""
127,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Honestly, it's been a struggle. I've had to take some days off due to an increase in anxiety attacks, which are making me forget to take my meds sometimes. But overall, I'm managing and trying to stick to my routine as much as possible."" (Response reflecting a positive mental state with some challenges)

Alternatively:

""I haven't been taking my medication regularly like I should be, it's just so hard to remember sometimes... I keep putting it off because I feel like it's not making that big of a difference. It's frustrating."" (Response showing frustration and struggling with the treatment)

Or:

""It's going okay, I've got everything under control now. I only take my meds when I need them, which is pretty rare anyway. Don't really see the point in taking something if I'm not using it right?"" (Response reflecting a neutral or dismissive attitude towards medication and treatment)

Or:

""I've been having some really bad days lately and it's hard to remember to take my meds. But I guess that's just part of the process, right? Can't expect everything to be perfect all the time."" (Response acknowledging difficulties but framing them as a normal part of recovery)"
128,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm doing okay with my meds, I guess. It's been tough remembering to take them every day without being reminded by my phone alarm - I still need to set it twice a day just to make sure I don't forget."" (Neutral tone)"
129,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm doing okay, I guess. Honestly, it's been tough remembering to take my meds every morning - sometimes I just can't be bothered, but I've found that if I set an alarm clock right next to my bed, that helps. It's not like it's a huge deal or anything, but it's still something I need to work on."""
130,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","Honestly, some days I'm on top of it like clockwork, but others I just can't seem to remember to take my meds. The worst part is when I've had a good day and then something unexpected happens, like running into an old friend or having a fight with a family member, and suddenly I'm back to worrying about anxiety again."
131,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Yes, I'm doing great. I've had some ups and downs, but my mom has been really supportive in reminding me to take my meds on time. It's funny, sometimes when she leaves the house, I forget - it's like she's a constant reminder of my health."""
132,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm having a bit of an off week with my meds, to be honest. I keep forgetting to take them on time, but today I managed to get myself on track by setting reminders on my phone and asking a friend to hold me accountable - it's funny how one little trick can turn everything around."""
133,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm actually doing okay with my meds so far. The biggest challenge for me has been remembering to take them on time - I've had to get creative with alarm reminders and putting notes in strategic places around the house to remind myself, but it's getting easier with practice."""
134,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I've actually found that taking my meds has become second nature now. I used to have trouble remembering to take them every day, but since I started using a pill box with a daily alarm on my phone, it's become as automatic as brushing my teeth."" (Positive and motivated)

(Other possible responses, reflecting different mental states and situations:

* ""To be honest, I've been having some trouble sticking to it. Lately, I've had to remind myself multiple times a day that I even take them...it's like my brain just forgets sometimes."" (Anxious or uncertain about medication adherence)
* ""It's not really the difficulty of taking meds that's the problem - it's more like my family is always on my case about when I last took them. Like, can't they just trust me to do this one thing?"" (Frustrated with external pressures)
* ""Medication-wise, everything feels pretty good right now. But sometimes in the evenings, when I'm all alone and it's getting dark...I feel this overwhelming urge to just throw my meds away and forget about them for a while."" (Glimpse of ambivalence or darker thoughts)
* ""Honestly? It's hard to remember to take them because I've got so many other things going on in my life that require attention. Like, have you seen the state of my apartment lately? It needs some serious cleaning up, and meds just don't seem like a priority right now."" (Overwhelmed by responsibilities)
* ""I think taking meds is fine...but the problem is that I've got too many other things I need to be worried about. Like, my job's been stressing me out lately, and dealing with anxiety on top of it all feels like a lot to handle."" (Feeling overwhelmed by stressors outside of medication adherence)
* ""The thing is, I used to feel so much better when I was taking meds, but now that I'm discharged...I just don't see the point anymore. Like, what's the use in continuing if it's not making a difference?"" (Disillusioned with treatment outcomes or uncertain about future benefits)"
135,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm struggling to remember to take my meds some days, but I've started using a pill box with alarms so that way I know when it's time. It's helped, but sometimes I feel like I'm just going through the motions and not really feeling invested in taking care of myself."""
136,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm actually really struggling with remembering to take my meds every day. I've started leaving a reminder note on my fridge, which has helped so far, but some days it feels like an endless battle in my head."""
137,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","Honestly, I've been struggling with remembering to take my meds on time. The past few days have been chaotic, with work and personal stuff piling up, so I've been lucky if I've taken them within an hour of being prescribed. My partner keeps reminding me, but it's hard to shake the feeling that I'm already falling behind again."
138,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Honestly, I've been doing alright with my meds so far. The biggest challenge for me has been remembering to take them at night before bed, but my partner helps me set reminders on her phone, which has really made a difference."""
139,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Honestly, I'm still struggling to get into a rhythm with my meds. Sometimes days go by without me remembering to take them, but other times I feel like I've got everything under control - it's just really inconsistent. I think part of the issue is that when I do stick to it, it makes me feel more grounded and in control of my anxiety."""
140,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""It's been tough, to be honest. I've had some good days and some bad ones - when I remember to take my meds on time, but then there are those days when I just can't seem to get out of bed, let alone swallow them down with water."""
141,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm trying my best, but honestly, some days I just can't remember to take them. I've got a bit of an irregular schedule going on with work and family commitments, so it's been tough to stick to a regular routine. Some weeks are better than others, I guess."""
142,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm managing okay, to be honest. The biggest challenge has been remembering to take my meds when I'm traveling for work, so I've had to set reminders on my phone or ask a friend to remind me each morning."""
143,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Honestly, I'm having trouble remembering to take my meds some days. The pill box broke, so now I have to carry the actual pills with me everywhere I go, which is just another thing to worry about... it's like my brain is already racing all day, why do I need more stress?"""
144,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I've actually been doing okay with my meds so far. The hardest part has been remembering to take them at night before bed, but I've started using an alarm clock to help me stay on track."" (Positive)

Honestly, it's not been easy sticking to the routine... I mean, some days I feel like taking all my meds at once and just getting it over with, you know? (Neutral)

To be honest, I'm still having trouble remembering to take them in the morning. My anxiety has been really bad lately, and it's hard for me to even get out of bed, let alone manage my meds. (Negative)

I've actually been doing pretty well on my meds, but I did have a bit of a setback last week when I missed a dose by accident... it was a big deal at the time, but I'm trying not to make too much of it. (Mixed - acknowledging a setback, but trying to downplay its significance)"
145,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm doing alright, I guess. To be honest, the hardest part is remembering to take my meds on time - sometimes I forget, but I've started leaving them next to my toothbrush so it's like having a little reminder in plain sight."""
146,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm actually having no issues with my meds so far. It's been pretty straightforward just taking them once a day without forgetting or anything. But I did have a few close calls last week where I accidentally left the pillbox on the counter instead of in my bag, so it was a bit of a panic moment, but nothing too major."""
147,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm actually having no problem sticking to my meds so far. I've just been trying to get into a new habit of taking them with my morning coffee instead of right before bed like my therapist suggested."""
148,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","It's been tough, to be honest. Some days I just can't remember to take my meds on time, but when I do, I feel like I'm on top of things again - it's like a weight has lifted off my shoulders."
149,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""It's been a struggle, to be honest. Some days I feel like I'm on top of it, but others I forget or don't have the energy to remember. The biggest challenge is probably just getting out of bed in the morning, that's where my anxiety really kicks in."""
150,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","Honestly, I've had trouble sticking to my morning dose. It's hard for me to remember when I'm feeling anxious before work, so I've started taking it at night instead, but that means I might forget on weekends. Some days are better than others, though - like yesterday when I was feeling really productive, I managed to take it without any issues!"
151,What was your bedtime like last night - did you get some good rest?,"""I slept okay, I guess. My mind just kept wandering back to all the stuff we talked about in therapy and I couldn't seem to shut it off. It felt like my brain was on repeat and no matter how hard I tried, I just couldn't quiet it down."""
152,What was your bedtime like last night - did you get some good rest?,"""I couldn't sleep much because I kept thinking about that argument with my sister. My mind just wouldn't shut off and it felt like I was stuck in this never-ending loop of guilt and anxiety. It's hard to explain, but sometimes the smallest things can trigger these big emotions and make it really tough to wind down at night."""
153,What was your bedtime like last night - did you get some good rest?,"""Ugh, I didn't sleep much, my mind just kept racing with all the stuff we talked about in therapy. I had trouble quieting it down and ended up getting up multiple times during the night to write things down on scraps of paper that somehow still felt overwhelming when morning came."""
154,What was your bedtime like last night - did you get some good rest?,"*Positive Response*: ""Oh, I slept great! I actually went to bed early and had a really peaceful evening, no racing thoughts or anxiety crept in. It's nice to feel like my brain can just relax for once.""

*Slightly Anxious Response*: ""To be honest, I had trouble falling asleep at first because my mind kept wandering back to work stuff. But eventually, I did manage to drift off and get a few good hours of sleep. Fingers crossed it stays that way!""

*Neutral Response*: ""I went to bed, I woke up, I got out of bed...that's about it. My brain didn't do much of anything exciting last night, which was fine for me.""

*Negative Response*: ""Ugh, nope. The anxiety and panic attacks came roaring back around 2 am. I ended up lying awake for hours, feeling like I'm stuck in this never-ending nightmare.""

*Confused Response*: ""I don't know...I fell asleep, but it felt weird. Did I have a dream or something? My brain feels all foggy right now...""

*Mixed Response*: ""Well, I did sleep okay, but at the same time, I woke up with these really vivid memories of stuff that happened in therapy last week. It's like my brain is trying to process everything and it's just...a lot.""

*Trauma-Informed Response*: ""I didn't sleep well because I kept having flashbacks to the traumatic event from my past. The anxiety was overwhelming, but I'm trying to work through it with my therapist.""

*Calm Response*: ""I had a lovely bedtime routine, which helped me wind down and relax. My mind is clear and peaceful right now, feeling like I've finally found some balance."""
155,What was your bedtime like last night - did you get some good rest?,"*In a reflective tone, with a hint of gratitude*

""Actually, I had a great night's sleep. The calmness and tranquility I've been working on finally started to kick in, and I was able to drift off easily. It felt like my body and mind were finally getting some much-needed rest."""
156,What was your bedtime like last night - did you get some good rest?,"""Ah, bedtimes are overrated. I just lay there for hours, staring at the ceiling, replaying all the things that went wrong today in my head. I guess it's been a tough few days since discharge and I'm still trying to adjust."""
157,What was your bedtime like last night - did you get some good rest?,"""Ugh, I didn't even know what time it was when I went to bed. To be honest, I think I might have slept in late again because my brain just couldn't shut off. It's been a tough day, everything feels overwhelming and I'm still trying to process some stuff from therapy."""
158,What was your bedtime like last night - did you get some good rest?,"""Honestly, I didn't really sleep much. I kept thinking about all the things I still need to do and couldn't shake the feeling of anxiety that's been following me since I left care. I guess it was more like 3 hours of fitful rest."""
159,What was your bedtime like last night - did you get some good rest?,"""I don't really remember much about sleep. I think I was up for hours, replaying old arguments with my mom in my head. It's funny how my brain still can't seem to let go of the past."""
160,What was your bedtime like last night - did you get some good rest?,"*I stare blankly into space, my voice barely above a whisper* ""Bedtime? I don't really remember. The medication's still got me feeling pretty foggy. Sometimes I think I went to bed, sometimes I'm not sure... *trails off*"""
161,What was your bedtime like last night - did you get some good rest?,"I didn't sleep much, my mind kept racing with all the things I need to do tomorrow. I had trouble shaking off those intrusive thoughts and ended up lying awake for hours, but at least it wasn't as bad as last week when I couldn't even get out of bed."
162,What was your bedtime like last night - did you get some good rest?,"""I don't really remember much about bed time. I might've fallen asleep for a bit, but my mind kept wandering and I felt anxious the whole time. I'm trying to establish a routine again, but it's hard when everything feels so overwhelming."""
163,What was your bedtime like last night - did you get some good rest?,"I didn't sleep much. I kept thinking about the therapist's words and felt overwhelmed by my thoughts, so I ended up lying awake for hours. My mind just wouldn't shut off, it was like it was still in that session with her yesterday."
164,What was your bedtime like last night - did you get some good rest?,"""I didn't really sleep much, to be honest. I kept thinking about all the things I had to do tomorrow and it just felt overwhelming. The anxiety crept in around 2 am and I couldn't shake it off until morning."""
165,What was your bedtime like last night - did you get some good rest?,"""Ugh, I barely slept. I lay in bed for hours, my mind racing with thoughts of everything that went wrong in the relationship I just ended. I kept replaying all the arguments and wondering what I could've done differently to make it work."""
166,What was your bedtime like last night - did you get some good rest?,"""I fell asleep around 10 pm, but I had trouble shaking off the thoughts of what happened earlier in the day. I kept replaying that argument with my sister over and over in my head, so it wasn't exactly the best night's sleep. I ended up waking up a few times, feeling anxious and restless."""
167,What was your bedtime like last night - did you get some good rest?,"""Ugh, I think I got maybe an hour or two of sleep. I was too anxious to settle down, kept thinking about all the things that could go wrong tomorrow and couldn't shake off the feeling of dread that's been following me around for weeks."""
168,What was your bedtime like last night - did you get some good rest?,"""I didn't really think about going to bed until it was almost too late. I remember getting in around midnight, checking my phone for what felt like the hundredth time, and eventually just drifting off after hours of scrolling through social media. It wasn't great, but it's not like I'm making any promises about my sleep habits anymore."""
169,What was your bedtime like last night - did you get some good rest?,"""I had trouble falling asleep again, my mind kept racing with all the things I need to do tomorrow. I finally drifted off around midnight, but I woke up multiple times, feeling anxious and restless."""
170,What was your bedtime like last night - did you get some good rest?,"""I think I got about 4 hours of sleep, I'm pretty sure I fell asleep at around midnight and woke up to the sound of my cat meowing. It's funny how even with all the anxiety in my head, my body just kinda shuts down for me when I need it to."""
171,What was your bedtime like last night - did you get some good rest?,"""I had a hard time falling asleep again. I kept thinking about all the things I still have to do tomorrow and how overwhelmed I feel, so I ended up getting maybe 3 hours of sleep. Now my head is pounding and I just want to crawl back under the covers."""
172,What was your bedtime like last night - did you get some good rest?,"I'm still trying to figure out how I ended up in bed at all. To be honest, I think I must have dozed off for a bit, but it's hard to remember anything after 10 pm, and my mind was racing with all the things I need to do tomorrow, like going grocery shopping and making sure I don't forget to take my meds."
173,What was your bedtime like last night - did you get some good rest?,"""Ugh, I don't know... I think I fell asleep around 2 am and woke up every hour until the early morning hours. My mind just wouldn't shut off, it's like it was replaying all the worst thoughts from the past week over and over again."""
174,What was your bedtime like last night - did you get some good rest?,"I slept soundly for the first time in weeks, waking up feeling refreshed and energized. I must have dozed off mid-sentence during my phone call with my sister earlier that day, because when I woke up, it was like nothing had happened. It was nice to feel like myself again, even if it's only for a little while."
175,What was your bedtime like last night - did you get some good rest?,"""Ah, bedtimes? To be honest, I lost track of time. Last night felt like it was spinning around me, and I didn't feel like I was really in control, even when my head hit the pillow."""
176,What was your bedtime like last night - did you get some good rest?,"It's hard for me to sleep at night. I had this constant anxiety that I'll forget everything I worked on in therapy, and it kept me up, replaying all the things I thought were unsolvable. Now my bed feels like an abyss."
177,What was your bedtime like last night - did you get some good rest?,"""I had trouble winding down, my mind kept racing with all the things I need to do tomorrow. I ended up staying awake for hours, feeling anxious about not being able to control my thoughts. It's funny how one minute everything seems fine and the next it's like I'm drowning in a sea of worries."""
178,What was your bedtime like last night - did you get some good rest?,"I don't really remember what time I went to bed or when I woke up, to be honest. Sometimes my brain gets stuck on loop and it's hard for me to keep track of time, but that's just part of dealing with my anxiety. Last night was like any other night - I think I drifted off eventually, but I couldn't shake the feeling that someone was watching me."
179,What was your bedtime like last night - did you get some good rest?,"""I slept for maybe an hour before I started thinking about all the things I'm still struggling with, and then I just lay there wide awake. To be honest, it's hard to shut off my mind sometimes, but at least today feels like a fresh start. It was quiet enough that I could even hear the birds outside."""
180,What was your bedtime like last night - did you get some good rest?,"""Ah, bed time... I'm not really sure. I think I might've stayed up for hours, replaying all the things that went wrong in my life. Now I just feel anxious and jittery, like I'll never be able to sleep again."""
181,What was your bedtime like last night - did you get some good rest?,"*I look around the room, seemingly disoriented, before responding in a flat tone* ""Bedtime? I don't really remember. I think I fell asleep on the couch at 3 am. Everything feels fuzzy after that."""
182,What was your bedtime like last night - did you get some good rest?,"""I think I had around 5 hours of sleep, to be honest. My mind kept wandering and I found myself lying awake for hours thinking about all the things that went wrong in my relationships today. It's hard to shake off those feelings when you're already feeling overwhelmed."""
183,What was your bedtime like last night - did you get some good rest?,"""I'm not really sure what my bedtime was, to be honest. I've been having trouble keeping track of time lately and everything feels kinda fuzzy. Sometimes when I try to sleep, my mind just starts racing with thoughts about all the things I need to do tomorrow, and it's hard for me to quiet it down."""
184,What was your bedtime like last night - did you get some good rest?,"""I didn't sleep much, I kept thinking about all the things I need to do tomorrow and it felt like my mind was racing. I finally fell asleep around 2am, but I woke up every hour after that, like someone was tapping on my shoulder. Now my bed feels too big and empty without anyone else there with me."""
185,What was your bedtime like last night - did you get some good rest?,"To be honest, I had a pretty rough night. I couldn't sleep because my mind started racing again, and before I knew it, the clock was hitting 3 am and I'd been lying awake for hours. I tried to calm myself down with some deep breathing exercises, but nothing seemed to work - I just felt stuck in this cycle of anxiety that's been hard to break out of lately."
186,What was your bedtime like last night - did you get some good rest?,"*Positive response*

Last night's sleep was actually really nice, I think I only set my alarm clock for the right time and managed to get about 7 hours of rest. It feels like I've been sleeping better lately because I've been trying to establish a consistent routine again.

*Slightly anxious response*

I didn't exactly get the best sleep - I kept waking up in the middle of the night thinking about all the things I still need to do today, but at least it was just for a little while."
187,What was your bedtime like last night - did you get some good rest?,"""Honestly, I didn't sleep much. I had trouble winding down after our session earlier, and my mind kept racing with thoughts of the things we talked about in therapy. I ended up lying awake for most of the night, feeling restless and anxious."""
188,What was your bedtime like last night - did you get some good rest?,"""I didn't really think about it too much, to be honest. I just kinda crashed on the couch and fell asleep eventually. I'm not even sure what time I went to bed, to be fair."""
189,What was your bedtime like last night - did you get some good rest?,"It was terrible, I couldn't sleep at all. My mind started racing with thoughts of the session we had today and I kept replaying the conversations in my head. Now I'm wide awake again wondering if I'll ever be able to quiet it down enough to get some rest."
190,What was your bedtime like last night - did you get some good rest?,"""I'm not really sure. I tried to wind down with some meditation, but my mind kept racing and I ended up lying awake for hours, thinking about all the things that still need fixing in my life. Now I just feel like I'm stuck in a cycle of anxiety and can't shake it."""
191,What was your bedtime like last night - did you get some good rest?,"""Ugh, I don't even remember what time I went to bed. I think I just kind of fell asleep on the couch and didn't really wake up until the alarm started ringing. It was pretty okay, I guess."" (reflective and somewhat neutral tone)"
192,What was your bedtime like last night - did you get some good rest?,"""I didn't really sleep much, I kept thinking about all the things I needed to do tomorrow and just couldn't shake the feeling of overwhelm. At one point, I think I woke up 4 times, my mind was racing so fast. It's funny, last week in care, they helped me establish a bedtime routine that actually worked for me, but now I'm back on my own and it's like everything is falling apart again."""
193,What was your bedtime like last night - did you get some good rest?,"*With a hint of anxiety and uncertainty* ""To be honest, I didn't sleep much. I kept waking up during the night thinking about my bills and how I'll pay them this month... it's just been really tough since I got out."""
194,What was your bedtime like last night - did you get some good rest?,"""It's been weeks since I've had a decent night's sleep. Last night was no exception, but at least my alarm didn't go off screaming in my ear... again."""
195,What was your bedtime like last night - did you get some good rest?,"I had trouble falling asleep, my mind kept racing with thoughts about old arguments with family members. I ended up watching Netflix until 2 am and then fell asleep around 3 am, but the rest of the day was foggy and exhausting."
196,What was your bedtime like last night - did you get some good rest?,"""It's been a while since I've had a decent night's sleep. To be honest, my brain is still racing from all the thoughts and memories that came flooding back when I was in care. Last night was a bit of a blur, but I'm pretty sure I only got about 2 hours of rest before I started tossing and turning again."""
197,What was your bedtime like last night - did you get some good rest?,"Honestly, I didn't really sleep much. I had trouble winding down after the session with my therapist and ended up replaying all the thoughts that kept me up at 3am. Now I'm just feeling a bit anxious about not sleeping well again, like I've fallen back into old patterns."
198,What was your bedtime like last night - did you get some good rest?,"""I had trouble falling asleep again, my mind kept racing through all the things I'm supposed to do today. I ended up staying awake for most of the night, but when I finally did sleep, it was so vivid that it felt like a nightmare, and now I'm feeling anxious about facing another day."""
199,What was your bedtime like last night - did you get some good rest?,"""I couldn't sleep for hours, my mind kept racing with all the things I still need to do. I finally fell asleep around 3am and only slept for about 4 hours before waking up to anxiety attacks."""
200,What was your bedtime like last night - did you get some good rest?,"I barely slept at all. The thoughts kept racing through my head, replaying every argument I had with my family and wondering if I'll ever be able to leave this place behind."
201,How would you rate your overall mood today on a scale from 1 to 10 - is there anything that might have changed that score?,"""I'd say I'm a 7 today, which is a big improvement from last week. I've been keeping busy with volunteering at the local animal shelter and spending time with my friends, which has really lifted my mood. But to be honest, I still have some days where anxiety creeps in around 4 or 5 on my scale - it's all about finding those little pockets of joy and comfort."""
202,How would you rate your overall mood today on a scale from 1 to 10 - is there anything that might have changed that score?,"""Honestly, I'd say my mood is around a 6. It's been a decent day so far, but every time the rain starts pouring outside, it feels like the sky is mirroring my emotions and makes me feel pretty down."""
203,How would you rate your overall mood today on a scale from 1 to 10 - is there anything that might have changed that score?,"I'd say my mood is an 8, mostly because I had a good conversation with my therapist during the discharge process and it felt like a weight was lifted off my shoulders. However, I did have a bit of a setback yesterday when I ran into someone from work who reminded me of all the things I'm still behind on, so that might bring my score down to an 8 now if you count it - but honestly, some days are just harder than others, you know?"
204,How would you rate your overall mood today on a scale from 1 to 10 - is there anything that might have changed that score?,"""Uh, I'd say it's a 7. I had a good conversation with my therapist the other day about setting boundaries and asserting myself in relationships, so that helped improve my mood a bit. But then I got stuck on a loop thinking about all the things I still can't afford to pay for on time, so that brought me back down."""
205,How would you rate your overall mood today on a scale from 1 to 10 - is there anything that might have changed that score?,"""Honestly, I'd say my mood is around a 4 today. Just got out of the discharge meeting and everything feels really overwhelming – like, what do I even do now? The fact that they're not expecting me to follow up with therapy sessions for months doesn't exactly fill me with hope."""
206,How would you rate your overall mood today on a scale from 1 to 10 - is there anything that might have changed that score?,""" honestly, it's been a rollercoaster day. I'd say my mood is an 8 right now - I had a good conversation with my therapist and felt really hopeful about my recovery, but then I ran into someone from high school who triggered some old anxiety and brought me back down to a 5. Now that the initial shock has worn off, I'm trying to focus on the progress I've made."""
207,How would you rate your overall mood today on a scale from 1 to 10 - is there anything that might have changed that score?,"I'd say my mood is an 8, but it's been fluctuating all day. Yesterday was a low point when I got into an argument with my roommate, and today seems to be rebounding from that. However, the stress of getting back into work and paying bills keeps creeping in, so I'm not sure if this is a long-term improvement or just a temporary reprieve."
208,How would you rate your overall mood today on a scale from 1 to 10 - is there anything that might have changed that score?,"""Honestly, I'd say my mood is around an 8 today. The fact that I've been discharged and can start rebuilding my life has lifted some of the weight off my shoulders, but I'm also feeling a bit anxious about navigating the world without support – it's like stepping into a new unknown territory."""
209,How would you rate your overall mood today on a scale from 1 to 10 - is there anything that might have changed that score?,"I'd rate my mood an 8 today, but I'm still feeling a bit anxious about not seeing the therapist as frequently as I'd like. The fact that I've been discharged from care has been weighing on me, and it's made me wonder if I'll be able to manage without regular support - it's like I'm walking out of a bubble I wasn't ready to leave."
210,How would you rate your overall mood today on a scale from 1 to 10 - is there anything that might have changed that score?,"""I'd say my mood is a solid 8 today, but if I'm being completely honest, it's a bit of a rollercoaster. I had a good conversation with my therapist yesterday and that definitely lifted my spirits, but then I ran into an ex who was being really condescending on the street this morning, so now I'm feeling a bit anxious again."""
211,How would you rate your overall mood today on a scale from 1 to 10 - is there anything that might have changed that score?,"I'd say my mood is a solid 6 today, but I'm feeling the weight of those therapy sessions we had last week. Seeing all the progress I've made has brought up some mixed emotions, and it's making me wonder if I'll ever be able to truly move on from what happened."
